;;;;;;;;;;;;;;;;;;;;;;;;;;
Cluster;income;kidhome;teenhome;dt_customer;recency;mntwines;mntfruits;mntmeatproducts;mntfishproducts;mntsweetproducts;mntgoldprods;numdealspurchases;numwebpurchases;numcatalogpurchases;numstorepurchases;numwebvisitsmonth;acceptedcmp3;acceptedcmp4;acceptedcmp5;acceptedcmp1;acceptedcmp2;response;complain;age;totalpurchases;moneyspent
1;56338.4553191489;0.180851063829787;0.959574468085106;11.0340425531915;50.0191489361702;431.393617021277;16.1127659574468;113.248936170213;20.8085106382979;16.6042553191489;51.5148936170213;3.32978723404255;5.71702127659574;2.77872340425532;7.03191489361702;5.7;0.0595744680851064;0.146808510638298;0.0297872340425532;0.0404255319148936;0.0191489361702128;0.117021276595745;0;59.6893617021277;18.8574468085106;649.682978723404
2;37631.9678456592;0.794212218649518;0.816720257234727;10.8906752411576;46.9614147909968;40.411575562701;4.22508038585209;21.1800643086817;6.60450160771704;4.33762057877814;14.9807073954984;2.40192926045016;1.95819935691318;0.556270096463023;3.15434083601286;6.39549839228296;0.0610932475884244;0.00321543408360129;0;0;0;0.0836012861736334;0.0160771704180064;57.2926045016077;8.07073954983923;91.7395498392283
3;29979.3994708995;0.957671957671958;0.00529100529100529;10.9391534391534;47.6243386243386;38.2380952380952;6.46031746031746;28.468253968254;8.66137566137566;6.12169312169312;18.1269841269841;2.01322751322751;2.34126984126984;0.537037037037037;3.16931216931217;6.93386243386243;0.103174603174603;0.00264550264550265;0;0.00264550264550265;0;0.134920634920635;0.0132275132275132;45.0132275132275;8.06084656084656;106.07671957672
4;74285.4842105263;0.048421052631579;0.221052631578947;10.9810526315789;49.5305263157895;563.492631578947;67.938947368421;427.993684210526;95.701052631579;70.1178947368421;76.5263157894737;1.50526315789474;5.22526315789474;5.64631578947368;8.48842105263158;3.00421052631579;0.0821052631578947;0.107368421052632;0.216842105263158;0.187368421052632;0.0189473684210526;0.290526315789474;0.0105263157894737;55.8947368421053;20.8652631578947;1301.77052631579
General;51897.4504283966;0.438800489596083;0.496940024479804;10.969400244798;48.7411260709914;304.428396572827;26.6829865361077;167.608323133415;37.0660954712362;27.4008567931457;44.1083231334149;2.31823745410037;4.07772337821297;2.67074663402693;5.82374541003672;5.33414932680539;0.076499388004896;0.0746634026927785;0.0716034271725826;0.0667074663402693;0.011015911872705;0.165238678090575;0.00917992656058752;54.735006119951;14.890452876377;607.294981640147
