;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cluster;age;income;recency;kidhome;teenhome;numdealspurchases;numwebvisitsmonth;totalpurchases;moneyspent;fish_ratio;meat_ratio;sweet_ratio;gold_ratio;fruit_ratio;wine_ratio;web_ratio;catalog_ratio;store_ratio;;;;;;;;;;
1;57;69835;49;0;0;2;4;18;1147;7%;29%;5%;8%;5%;47%;30%;26%;44%;;;;;;;;;;
2;50;34019;49;1;0;2;7;7;144;10%;25%;7%;19%;7%;31%;35%;9%;56%;;;;;;;;;;
3;59;53390;48;0;1;3;6;13;556;3%;20%;3%;8%;2%;64%;34%;15%;50%;;;;;;;;;;
General;55;51897;49;0;0;2;5;13;607;6%;28%;5%;7%;4%;50%;32%;21%;46%;;;;;;;;;;
